"U.S. Department of the Treasury
Emergency Rental Assistance Program (ERA1) Interim Report
Consolidated Appropriations Act, 2021
January 1, 2021 - June 30, 20226

States, Local Governments, and U.S. Territories1 / 2022";January 1, 2021 - June 30, 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Assistance to Households 
Rent, Rental Arrears, Utilities Paid (Excludes Housing Stability/Admin Costs)
$ Millions2";;;;;;;;;;;;;;;;Assistance to Households Expenditure Ratio as of June 30, 20225;Households Assisted3;;;;;;;;;;;;;;;;"Total ERA 1 Allocation, Award, and Disbursement 
$ Millions4"
;January 1 - March 31, 2021;April 1 - April 30, 2021;May 1 - May 31, 2021;June 1 - June 30, 2021;July 1 - July 31, 2021;August 1 - August 31, 2021;September 1 - September 30, 2021;October 1 - October 31, 2021;November 1 - November 30, 2021;December 1 - December 31, 2021;January 1 - January 31, 2022;February 1 - February 28, 2022;March 1 - March 31, 2022;April 1 - April 30, 2022;May 1 - May 31, 2022;June 1 - June 30, 2022;;January 1 - March 31, 2021;April 1 - April 30, 2021;May 1 - May 31, 2021;June 1 - June 30, 2021;July 1 - July 31, 2021;August 1 - August 31, 2021;September 1 - September 30, 2021;October 1 - October 31, 2021;November 1 - November 30, 2021;December 1 - December 31, 2021;January 1 - January 31, 2022;February 1 - February 28, 2022;March 1 - March 31, 2022;April 1 - April 30, 2022;May 1 - May 31, 2022;June 1 - June 30, 2022;
Grand Total;$254.0;$471.1;$777.4;$1í568.9;$1í727.0;$2í441.2;$2í618.5;$2í244.5;$1í584.9;$1í124.0;$814.1;$661.9;$713.8;$564.5;$681.3;$537.8;; 98í707 ; 102í823 ; 165í880 ; 300í452 ; 356í262 ; 432í540 ; 478í035 ; 428í416 ; 391í378 ; 334í906 ; 209í566 ; 222í021 ; 209í195 ; 158í272 ; 162í938 ; 152í277 ;$23í765.1
California;$2.1;$19.7;$91.8;$155.6;$347.2;$486.5;$570.5;$372.0;$214.9;$121.6;$60.7;$56.6;$51.3;$27.9;$25.3;$13.1;; 439 ; 3í234 ; 13í896 ; 27í282 ; 62í331 ; 62í977 ; 70í306 ; 33í228 ; 25í989 ; 17í292 ; 7í944 ; 8í560 ; 7í609 ; 3í725 ; 4í835 ; 3í192 ;$2í837.9
State/DC;$.0;$.5;$30.2;$74.4;$186.1;$357.2;$418.6;$302.1;$180.7;$85.9;$50.6;$50.4;$35.5;$17.5;$11.2;$5.4;; -   ; 61 ; 2í632 ; 12í874 ; 33í892 ; 45í515 ; 54í461 ; 24í301 ; 19í597 ; 12í233 ; 5í937 ; 7í121 ; 5í082 ; 2í044 ; 2í300 ; 1í498 ;$2í000.8
State of California;$.0;$.5;$30.2;$74.4;$186.1;$357.2;$418.6;$302.1;$180.7;$85.9;$50.6;$50.4;$35.5;$17.5;$11.2;$5.4;100+%; -   ; 61 ; 2í632 ; 12í874 ; 33í892 ; 45í515 ; 54í461 ; 24í301 ; 19í597 ; 12í233 ; 5í937 ; 7í121 ; 5í082 ; 2í044 ; 2í300 ; 1í498 ;$2í000.8
Local Government;$2.1;$19.2;$61.6;$81.3;$161.1;$129.3;$151.9;$70.0;$34.2;$35.7;$10.1;$6.2;$15.9;$10.4;$14.2;$7.7;; 439 ; 3í173 ; 11í264 ; 14í408 ; 28í439 ; 17í462 ; 15í845 ; 8í927 ; 6í392 ; 5í059 ; 2í007 ; 1í439 ; 2í527 ; 1í681 ; 2í535 ; 1í694 ;$837.1
Alameda County;$.0;$.4;$1.4;$3.8;$3.7;$4.5;$6.3;$2.4;$1.3;$.0;$.0;$1.2;$.1;$.0;$.0;$.0;95%; -   ; 28 ; 99 ; 259 ; 245 ; 292 ; 409 ; 170 ; 96 ; 1 ; 2 ; 65 ; 16 ; 2 ; 1 ; -   ;$29.6
City and County of San Francisco;$.0;$.0;$.0;$.7;$1.1;$2.9;$4.3;$2.0;$.9;$.9;$.3;$.3;$.3;$.1;$.0;$.0;59%; -   ; -   ; -   ; 82 ; 158 ; 379 ; 581 ; 289 ; 142 ; 130 ; 43 ; 45 ; 36 ; 16 ; 4 ; -   ;$26.2
City of Anaheim;$.0;$.9;$1.1;$1.6;$1.7;$2.2;$3.5;$.0;$.0;$.0;$.0;$.0;$.0;$.0;$.0;$.0;100+%; -   ; 153 ; 209 ; 285 ; 224 ; 189 ; 423 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;$10.4
City of Bakersfield;$.0;$1.0;$1.3;;$.8;$2.1;$1.4;$1.0;$3.5;$3.4;$1.7;$.0;$.0;$.0;$.0;$.0;100+%; -   ; 194 ; 233 ;; 140 ; 300 ; 228 ; 172 ; 501 ; 495 ; 262 ; 2 ; -   ; -   ; -   ; -   ;$11.4
City of Chula Vista;$.0;$.0;$.0;$3.7;$3.6;$.0;$.0;$.0;$.0;$.0;$.0;$.0;$.7;$.7;;$.0;99%; -   ; -   ; -   ; 692 ; 950 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 135 ; 168 ;; -   ;$9.6
City of Fremont;$.0;$.6;$1.5;$1.0;$1.4;$.4;$.9;$.0;$.0;$.0;$.0;$.0;$.0;$.0;$.0;$.1;88%; -   ; 60 ; 149 ; 91 ; 90 ; 22 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; 13 ;$7.5
City of Fresno;$.0;$.4;$.7;$.3;$.9;-$.4;$.1;$1.4;$2.1;$3.3;$2.5;$.5;$1.1;$.2;$.0;$.0;92%; -   ; 98 ; 167 ; 84 ; 152 ; 197 ; 18 ; 253 ; 354 ; 504 ; 792 ; 74 ; 159 ; 50 ; 1 ; 1 ;$15.8
City of Irvine;$.0;$.0;$3.2;$3.3;$3.7;$.0;$.0;$.0;$.0;$.0;;$.0;$.0;$.0;$.0;$.0;100+%; -   ; -   ; 367 ; 394 ; 453 ; -   ; -   ; -   ; -   ; -   ;; -   ; -   ; -   ; -   ; -   ;$8.5
City of Long Beach;$.0;$.0;$.2;$1.6;$3.0;$4.7;$.0;$.0;$3.0;$.1;$.0;$.0;$.1;$.1;$.0;$.0;98%; -   ; -   ; 33 ; 428 ; 458 ; 1í402 ; -   ; -   ; 303 ; 236 ; 6 ; 2 ; 11 ; 15 ; 3 ; 1 ;$14.7
