"U.S. Department of the Treasury
Emergency Rental Assistance Program (ERA2) Interim Report
American Rescue Plan Act, 2021
April 1, 2021 - June 30, 20225 

States, Local Governments, and U.S. Territories1 / 2022";April 1, 2021 - June 30, 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Assistance to Households 
Rent, Rental Arrears, Utilities Paid (Excludes Housing Stability/Admin Costs)
$ Millions2";;;;;;;;;;;;;Households Assisted3;;;;;;;;;;;;;"Total ERA2 Allocation 
$ Millions4"
;April 1 - June 30, 2021;July 1 - July 31, 2021;August 1 - August 31, 2021;September 1 - September 30, 2021;October 1 - October 31, 2021;November 1 - November 30, 2021;December 1 - December 31, 2021;January 1 - January 31, 2022;February 1 - February 28, 2022;March 1 - March 31, 2022;April 1 - April 30, 2022;May 1 - May 31, 2022;June 1 - June 30, 2022;April 1 - June 30, 2021;July 1 - July 31, 2021;August 1 - August 31, 2021;September 1 - September 30, 2021;October 1 - October 31, 2021;November 1 - November 30, 2021;December 1 - December 31, 2021;January 1 - January 31, 2022;February 1 - February 28, 2022;March 1 - March 31, 2022;April 1 - April 30, 2022;May 1 - May 31, 2022;June 1 - June 30, 2022;
Grand Total;$453.2;$31.4;$85.7;$186.7;$663.6;$1’429.3;$1’342.1;$1’156.2;$1’279.5;$1’142.7;$1’083.4;$947.9;$996.7; 72’383 ; 12’924 ; 22’512 ; 36’882 ; 108’276 ; 297’919 ; 245’378 ; 224’362 ; 244’167 ; 283’807 ; 283’359 ; 245’100 ; 238’717 ;$21’517.0
California;$.0;$.1;$9.6;$25.2;$155.5;$373.1;$274.5;$249.9;$334.8;$134.8;$80.7;$177.8;$246.0; -   ; 45 ; 1’327 ; 4’029 ; 14’982 ; 34’992 ; 29’608 ; 28’007 ; 35’948 ; 14’796 ; 12’051 ; 22’623 ; 32’082 ;$2’586.8
State/DC;$.0;$.0;$.0;$.0;$116.9;$340.5;$243.7;$216.1;$309.2;$99.2;$44.7;$139.7;$225.7; -   ; -   ; -   ; -   ; 9’184 ; 29’768 ; 24’510 ; 23’627 ; 31’331 ; 10’151 ; 6’342 ; 17’236 ; 28’077 ;$2’075.0
State of California;$.0;$.0;$.0;$.0;$116.9;$340.5;$243.7;$216.1;$309.2;$99.2;$44.7;$139.7;$225.7; -   ; -   ; -   ; -   ; 9’184 ; 29’768 ; 24’510 ; 23’627 ; 31’331 ; 10’151 ; 6’342 ; 17’236 ; 28’077 ;$2’075.0
Local Government;$.0;$.1;$9.6;$25.2;$38.7;$32.6;$30.8;$33.9;$25.6;$35.6;$36.0;$38.1;$20.3; -   ; 45 ; 1’327 ; 4’029 ; 5’798 ; 5’224 ; 5’098 ; 4’380 ; 4’617 ; 4’645 ; 5’709 ; 5’387 ; 4’005 ;$511.9
Alameda County;$.0;$.0;$.0;;$.0;$.0;$.0;$.0;$.0;$10.9;$.0;$11.0;$.0; -   ; -   ; -   ;; -   ; -   ; -   ; -   ; -   ; 775 ; 4 ; 892 ; 1 ;$36.5
City of Anaheim;$.0;$.0;$.0;$.0;$.0;$.5;$3.9;$2.5;$2.1;$1.6;$1.3;$1.0;$.0; -   ; -   ; -   ; -   ; -   ; 111 ; 644 ; 490 ; 368 ; 265 ; 195 ; 124 ; 10 ;$15.0
City of Bakersfield;$.0;$.0;$.0;$.0;$.0;$.0;$.0;$.0;$1.5;$1.3;$.0;$.0;$.4; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 216 ; 224 ; -   ; 5 ; 47 ;$9.0
City of Chula Vista;$.0;$.0;;;$3.6;$1.5;$.0;$.0;$.0;$.0;$.0;$.0;$.0; -   ; -   ;;; 325 ; 190 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;$9.9
City of Fremont;;;;;$.5;$.1;$.1;$1.3;$.5;$.1;$.0;$.0;$.0;;;;; 41 ; 8 ; 8 ; 115 ; 50 ; 14 ; 1 ; -   ; -   ;$5.7
City of Fresno;;$.0;$.0;$.0;$.0;$.0;$.0;$.0;$.0;$.0;$7.3;$1.0;$1.6;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1’371 ; 180 ; 432 ;$19.8
City of Long Beach;$.0;$.0;$.0;$.0;$.0;$.0;$.9;$2.9;$3.9;$5.6;$4.8;$.1;$.1; -   ; -   ; -   ; -   ; -   ; -   ; 97 ; 445 ; 668 ; 657 ; 615 ; 11 ; 12 ;$21.2
