State;StateAbbr;Category;JurisNameSimple;Jurisdiction;"Assistance to Households 
Rent, Rental Arrears, Utilities Paid (Excludes Housing Stability/Admin Costs)
$  (April 2021 - June 2022)";"Total ERA2 Allocation 
$ 4";Households Assisted (April 2021 - June 2022)
California;CA;Total;California;California;2062215141;2586819701;230490
California;CA;State Total;State/DC;State/DC;1735767772;2074957050;180226
California;CA;State/DC;State of California;State of California;1735767772;2074957050;180226
California;CA;Local Total;Local Government;Local Government;326447369;511862650.7;50264
California;CA;County;Alameda;Alameda County;22009255;36458627.2;1672
California;CA;City;Anaheim;City of Anaheim;12925911;15031958.6;2207
California;CA;City;Bakersfield;City of Bakersfield;3256054;9037138.6;492
California;CA;City;Chula Vista;City of Chula Vista;5113810;9931566.4;515
California;CA;City;Fremont;City of Fremont;2543041;5672192.7;237
California;CA;City;Fresno;City of Fresno;9896778;19813664.3;1983
California;CA;City;Long Beach;City of Long Beach;18183308;21204940.4;2505
California;CA;City;Moreno Valley;City of Moreno Valley;4260356;5012189.6;481
California;CA;City;Oakland;City of Oakland;12530178;19644850.3;1241
California;CA;City;Riverside;City of Riverside;1249595;7795353.9;177
California;CA;City;Sacramento;City of Sacramento;10280530;12083175;1447
California;CA;City;San Bernardino;City of San Bernardino;2813754;8273045.1;579
California;CA;City;Santa Ana;City of Santa Ana;10953824;14026593.9;1553
California;CA;City;Stockton;City of Stockton;9393510;11051190.1;1135
California;CA;County;Fresno;Fresno County;0;14683685;0
California;CA;County;Kern;Kern County;4956283;20132570.8;758
California;CA;County;Marin;Marin County;2794349;9441174.4;246
California;CA;County;Monterey;Monterey County;9190284;10211429;2229
California;CA;County;Placer;Placer County;684444;9370821.9;407
California;CA;County;Riverside;Riverside County;41344888;62849621.7;8734
California;CA;County;Sacramento;Sacramento County;14211048;43366136.3;2144
California;CA;County;San Diego;San Diego County;53032019;58288819.7;9683
California;CA;County;Santa Barbara;Santa Barbara County;9677716;16610602.8;865
California;CA;County;Sonoma;Sonoma County;7406166;17332239.8;1125
California;CA;City;San Diego;City of San Diego;57740268;54539063.2;7849
Texas;TX;Total;Texas;Texas;1629012734;1739452687;345348
Texas;TX;State Total;State/DC;State/DC;1311145347;1107971308;259139
Texas;TX;State/DC;State of Texas;State of Texas;1311145347;1107971308;259139
Texas;TX;Local Total;Local Government;Local Government;317867387;631481378.5;86209
Texas;TX;County;Bell;Bell County;5120875;8677001.4;1326
Texas;TX;County;Bexar;Bexar County;3771745;10910255;954
Texas;TX;County;Brazoria;Brazoria County;1533504;8948124.8;270
Texas;TX;County;Cameron;Cameron County;2172116;13315725.2;722
Texas;TX;City;Arlington;City of Arlington;7507417;9536037;3857
Texas;TX;City;Austin;City of Austin;29888444;35312852.7;9752
Texas;TX;City;Corpus Christi;City of Corpus Christi;6642269;7808211;1526
Texas;TX;City;Dallas;City of Dallas;15796567;50225677.4;2968
Texas;TX;City;El Paso;City of El Paso;12755387;16299155.7;4147
Texas;TX;City;Fort Worth;City of Fort Worth;9192120;29071786;1449
Texas;TX;City;Garland;City of Garland;306101;5736340.4;136
Texas;TX;City;Houston;City of Houston;68294855;86068150.2;16103
Texas;TX;City;Irving;City of Irving;2397718;5733232.2;585
Texas;TX;City;Laredo;City of Laredo;92991;8295954.9;146
Texas;TX;City;Lubbock;City of Lubbock;4426417;6189025.6;1444
Texas;TX;City;Plano;City of Plano;5304366;6877951.6;1601
Texas;TX;City;San Antonio;City of San Antonio;47410300;49698201.9;13423
Texas;TX;County;Dallas;Dallas County;965285;31942392;296
